genre,title,author,average_rating,publication_year,link
history,spqr a history of ancient rome,Mary Beard,4.06,2015,https://www.goodreads.com/book/show/28789711-spqr
history,the rise and fall of the third reich a history of nazi germany,William L. Shirer,4.22,1960,https://www.goodreads.com/book/show/767171.The_Rise_and_Fall_of_the_Third_Reich
history,1491 new revelations of the americas before columbus,Charles C. Mann,4.05,2005,https://www.goodreads.com/book/show/39020.1491
history,bury my heart at wounded knee an indian history of the american west,Dee Brown,4.26,1970,https://www.goodreads.com/book/show/76401.Bury_My_Heart_at_Wounded_Knee
history,team of rivals the political genius of abraham lincoln,Doris Kearns Goodwin,4.28,2005,https://www.goodreads.com/book/show/2199.Team_of_Rivals
history,the guns of august,Barbara W. Tuchman,4.18,1962,https://www.goodreads.com/book/show/40779082-the-guns-of-august
history,genghis khan and the making of the modern world,Jack Weatherford,4.06,2004,https://www.goodreads.com/book/show/40718726-genghis-khan-and-the-making-of-the-modern-world
history,john adams,David McCullough,4.08,2001,https://www.goodreads.com/book/show/2203.John_Adams
history,in the garden of beasts love terror and an american family in hitlers berlin,Erik Larson,3.89,2011,https://www.goodreads.com/book/show/9938498-in-the-garden-of-beasts
history,alexander hamilton,Ron Chernow,4.22,2004,https://www.goodreads.com/book/show/16130.Alexander_Hamilton
history,the silk roads a new history of the world,Peter Frankopan,4.17,2015,https://www.goodreads.com/book/show/25812847-the-silk-roads
history,the warmth of other suns the epic story of americas great migration,Isabel Wilkerson,4.48,2010,https://www.goodreads.com/book/show/8171378-the-warmth-of-other-suns
history,king leopolds ghost a story of greed terror and heroism in colonial africa,Adam Hochschild,4.19,1998,https://www.goodreads.com/book/show/40961621-king-leopold-s-ghost
history,dead wake the last crossing of the lusitania,Erik Larson,4.13,2015,https://www.goodreads.com/book/show/22551730-dead-wake
history,a distant mirror the calamitous 14th century,Barbara W. Tuchman,4.05,1978,https://www.goodreads.com/book/show/568236.A_Distant_Mirror
history,the wager a tale of shipwreck mutiny and murder,David Grann,4.17,2023,https://www.goodreads.com/book/show/61714633-the-wager
history,the rape of nanking the forgotten holocaust of world war ii,Iris Chang,4.25,1997,https://www.goodreads.com/book/show/95784.The_Rape_of_Nanking
history,lies my teacher told me everything your american history textbook got wrong,James W. Loewen,3.97,1995,https://www.goodreads.com/book/show/296662.Lies_My_Teacher_Told_Me
history,say nothing a true story of murder and memory in northern ireland,Patrick Radden Keefe,4.47,2018,https://www.goodreads.com/book/show/40163119-say-nothing
history,the splendid and the vile a saga of churchill family and defiance during the blitz,Erik Larson,4.3,2020,https://www.goodreads.com/book/show/51187948-the-splendid-and-the-vile
history,salt a world history,Mark Kurlansky,3.75,2002,https://www.goodreads.com/book/show/2715.Salt
history,the professor and the madman a tale of murder insanity and the making of the oxford english dictionary,Simon Winchester,3.84,1998,https://www.goodreads.com/book/show/25019.The_Professor_and_the_Madman
history,the radium girls the dark story of americas shining women,Kate  Moore,4.16,2016,https://www.goodreads.com/book/show/31409135-the-radium-girls
history,endurance shackletons incredible voyage,Alfred Lansing,4.46,1959,https://www.goodreads.com/book/show/139069.Endurance
history,band of brothers e company 506th regiment 101st airborne from normandy to hitlers eagles nest,Stephen E. Ambrose,4.44,1992,https://www.goodreads.com/book/show/42389.Band_of_Brothers
history,hiroshima,John Hersey,4.05,1946,https://www.goodreads.com/book/show/27323.Hiroshima
history,collapse how societies choose to fail or succeed,Jared Diamond,3.94,2004,https://www.goodreads.com/book/show/475.Collapse
history,caste the origins of our discontents,Isabel Wilkerson,4.53,2020,https://www.goodreads.com/book/show/51152447-caste
history,destiny of the republic a tale of madness medicine and the murder of a president,Candice Millard,4.23,2011,https://www.goodreads.com/book/show/10335318-destiny-of-the-republic
history,rubicon the last years of the roman republic,Tom Holland,4.23,2003,https://www.goodreads.com/book/show/91017.Rubicon
history,in the heart of the sea the tragedy of the whaleship essex,Nathaniel Philbrick,4.17,2000,https://www.goodreads.com/book/show/17780.In_the_Heart_of_the_Sea
history,the boys in the boat nine americans and their epic quest for gold at the 1936 berlin olympics,Daniel James Brown,4.39,2013,https://www.goodreads.com/book/show/16158542-the-boys-in-the-boat
history,on tyranny twenty lessons from the twentieth century,Timothy Snyder,4.28,2017,https://www.goodreads.com/book/show/33917107-on-tyranny
history,longitude the true story of a lone genius who solved the greatest scientific problem of his time,Dava Sobel,3.99,1995,https://www.goodreads.com/book/show/4806.Longitude
biography,steve jobs,Walter Isaacson,4.16,2011,https://www.goodreads.com/book/show/11084145-steve-jobs
biography,elon musk tesla spacex and the quest for a fantastic future,Ashlee Vance,4.13,2015,https://www.goodreads.com/book/show/25541028-elon-musk
biography,einstein his life and universe,Walter Isaacson,4.17,2007,https://www.goodreads.com/book/show/10884.Einstein
biography,leonardo da vinci,Walter Isaacson,4.18,2017,https://www.goodreads.com/book/show/34684622-leonardo-da-vinci
biography,the autobiography of malcolm x,Malcolm X,4.37,1965,https://www.goodreads.com/book/show/92057.The_Autobiography_of_Malcolm_X
biography,benjamin franklin an american life,Walter Isaacson,4.05,2003,https://www.goodreads.com/book/show/10883.Benjamin_Franklin
biography,shoe dog a memoir by the creator of nike,Phil Knight,4.46,2016,https://www.goodreads.com/book/show/27220736-shoe-dog
biography,a promised land,Barack Obama,4.32,2020,https://www.goodreads.com/book/show/55361205-a-promised-land
biography,i know why the caged bird sings maya angelous autobiography 1,Maya Angelou,4.3,1969,https://www.goodreads.com/book/show/13214.I_Know_Why_the_Caged_Bird_Sings
biography,washington a life,Ron Chernow,4.17,2010,https://www.goodreads.com/book/show/8255917-washington
biography,cleopatra a life,Stacy Schiff,3.73,2010,https://www.goodreads.com/book/show/7968243-cleopatra
biography,the autobiography of benjamin franklin,Benjamin Franklin,3.85,1791,https://www.goodreads.com/book/show/52309.The_Autobiography_of_Benjamin_Franklin
biography,bonhoeffer pastor martyr prophet spy,Eric Metaxas,4.22,2010,https://www.goodreads.com/book/show/7501962-bonhoeffer
biography,the rise of theodore roosevelt theodore roosevelt 1,Edmund  Morris,4.22,1979,https://www.goodreads.com/book/show/40929.The_Rise_of_Theodore_Roosevelt
biography,american prometheus the triumph and tragedy of j robert oppenheimer,Kai Bird,4.31,2005,https://www.goodreads.com/book/show/80571.American_Prometheus
biography,titan the life of john d rockefeller sr,Ron Chernow,4.15,1998,https://www.goodreads.com/book/show/16121.Titan
biography,catherine the great portrait of a woman,Robert K. Massie,3.94,2011,https://www.goodreads.com/book/show/10414941-catherine-the-great
biography,truman,David McCullough,4.17,1992,https://www.goodreads.com/book/show/2279.Truman
biography,long walk to freedom,Nelson Mandela,4.36,1994,https://www.goodreads.com/book/show/318431.Long_Walk_to_Freedom
biography,the hiding place the triumphant true story of corrie ten boom,Corrie ten Boom,4.48,1971,https://www.goodreads.com/book/show/561909.The_Hiding_Place
biography,greenlights,Matthew McConaughey,4.2,2020,https://www.goodreads.com/book/show/52838315-greenlights
biography,angelas ashes frank mccourt 1,Frank McCourt,4.15,1996,https://www.goodreads.com/book/show/252577.Angela_s_Ashes
biography,yes please,Amy Poehler,3.85,2014,https://www.goodreads.com/book/show/20910157-yes-please
biography,the wright brothers,David McCullough,4.17,2015,https://www.goodreads.com/book/show/22609391-the-wright-brothers
biography,grant,Ron Chernow,4.5,2017,https://www.goodreads.com/book/show/34237826-grant
biography,elon musk,Walter Isaacson,4.33,2023,https://www.goodreads.com/book/show/122765395-elon-musk
biography,dreams from my father a story of race and inheritance,Barack Obama,3.94,1995,https://www.goodreads.com/book/show/88061.Dreams_from_My_Father
biography,narrative of the life of frederick douglass,Frederick Douglass,4.13,1845,https://www.goodreads.com/book/show/36529.Narrative_of_the_Life_of_Frederick_Douglass
biography,spare,Prince Harry,3.84,2023,https://www.goodreads.com/book/show/62296528-spare
science,the selfish gene,Richard Dawkins,4.16,1976,https://www.goodreads.com/book/show/61535.The_Selfish_Gene
science,astrophysics for people in a hurry,Neil deGrasse Tyson,4.08,2017,https://www.goodreads.com/book/show/32191710-astrophysics-for-people-in-a-hurry
science,cosmos,Carl Sagan,4.4,1980,https://www.goodreads.com/book/show/55030.Cosmos
science,the origin of species,Charles Darwin,4.01,1859,https://www.goodreads.com/book/show/22463.The_Origin_of_Species
science,the elegant universe superstrings hidden dimensions and the quest for the ultimate theory,Brian Greene,4.1,1999,https://www.goodreads.com/book/show/8049273-the-elegant-universe
science,the demonhaunted world science as a candle in the dark,Carl Sagan,4.29,1995,https://www.goodreads.com/book/show/17349.The_Demon_Haunted_World
science,the gene an intimate history,Siddhartha Mukherjee,4.35,2016,https://www.goodreads.com/book/show/27276428-the-gene
science,the emperor of all maladies a biography of cancer,Siddhartha Mukherjee,4.34,2010,https://www.goodreads.com/book/show/7170627-the-emperor-of-all-maladies
science,the sixth extinction an unnatural history,Elizabeth Kolbert,4.15,2014,https://www.goodreads.com/book/show/17910054-the-sixth-extinction
science,the disappearing spoon and other true tales of madness love and the history of the world from the periodic table of the elements,Sam Kean,3.92,2010,https://www.goodreads.com/book/show/7247854-the-disappearing-spoon
science,the grand design,Stephen Hawking,4.06,2010,https://www.goodreads.com/book/show/8520362-the-grand-design
science,seven brief lessons on physics,Carlo Rovelli,3.99,2014,https://www.goodreads.com/book/show/25734172-seven-brief-lessons-on-physics
science,the greatest show on earth the evidence for evolution,Richard Dawkins,4.16,2009,https://www.goodreads.com/book/show/6117055-the-greatest-show-on-earth
science,the fabric of the cosmos space time and the texture of reality,Brian Greene,4.13,2004,https://www.goodreads.com/book/show/22435.The_Fabric_of_the_Cosmos
science,brief answers to the big questions,Stephen Hawking,4.26,2018,https://www.goodreads.com/book/show/40277241-brief-answers-to-the-big-questions
science,the structure of scientific revolutions,Thomas S. Kuhn,4.03,1962,https://www.goodreads.com/book/show/61539.The_Structure_of_Scientific_Revolutions
science,the god delusion,Richard Dawkins,3.9,2006,https://www.goodreads.com/book/show/14743.The_God_Delusion
science,the body a guide for occupants,Bill Bryson,4.31,2019,https://www.goodreads.com/book/show/43582376-the-body
science,i contain multitudes the microbes within us and a grander view of life,Ed Yong,4.18,2016,https://www.goodreads.com/book/show/27213168-i-contain-multitudes
science,chaos making a new science,James Gleick,4.03,1987,https://www.goodreads.com/book/show/64582.Chaos
science,packing for mars the curious science of life in the void,Mary Roach,3.95,2010,https://www.goodreads.com/book/show/9542311-packing-for-mars
science,godel escher bach an eternal golden braid,Douglas R. Hofstadter,4.29,1979,https://www.goodreads.com/book/show/24113.G_del_Escher_Bach
science,pale blue dot a vision of the human future in space,Carl Sagan,4.34,1994,https://www.goodreads.com/book/show/61663.Pale_Blue_Dot
science,the blind watchmaker why the evidence of evolution reveals a universe without design,Richard Dawkins,4.09,1986,https://www.goodreads.com/book/show/117047.The_Blind_Watchmaker
science,the universe in a nutshell,Stephen Hawking,4.19,2001,https://www.goodreads.com/book/show/2095.The_Universe_in_a_Nutshell
science,the hidden life of trees what they feel how they communicate discoveries from a secret world,Peter Wohlleben,4.07,2015,https://www.goodreads.com/book/show/28256439-the-hidden-life-of-trees
science,behave the biology of humans at our best and worst,Robert M. Sapolsky,4.38,2017,https://www.goodreads.com/book/show/31170723-behave
science,entangled life how fungi make our worlds change our minds shape our futures,Merlin Sheldrake,4.33,2020,https://www.goodreads.com/book/show/52668915-entangled-life
science,bad science,Ben Goldacre,4.06,2008,https://www.goodreads.com/book/show/3272165-bad-science
science,the rise and fall of the dinosaurs a new history of a lost world,Steve Brusatte,4.21,2018,https://www.goodreads.com/book/show/35820369-the-rise-and-fall-of-the-dinosaurs
science,physics of the impossible,Michio Kaku,4.1,2008,https://www.goodreads.com/book/show/1168341.Physics_of_the_Impossible
science,the order of time,Carlo Rovelli,4.13,2017,https://www.goodreads.com/book/show/36442813-the-order-of-time
science,death by black hole and other cosmic quandaries,Neil deGrasse Tyson,4.1,2006,https://www.goodreads.com/book/show/20663770-death-by-black-hole
science,genome the autobiography of a species in 23 chapters,Matt Ridley,4.06,1999,https://www.goodreads.com/book/show/4591.Genome
science,six easy pieces essentials of physics explained by its most brilliant teacher,Richard P. Feynman,4.21,1994,https://www.goodreads.com/book/show/5553.Six_Easy_Pieces
science,your inner fish a journey into the 35billionyear history of the human body,Neil Shubin,4.04,2008,https://www.goodreads.com/book/show/1662160.Your_Inner_Fish
science,a universe from nothing why there is something rather than nothing,Lawrence M. Krauss,3.94,2012,https://www.goodreads.com/book/show/11337189-a-universe-from-nothing
science,the hot zone the terrifying true story of the origins of the ebola virus,Richard   Preston,4.16,1994,https://www.goodreads.com/book/show/16213.The_Hot_Zone
humour,the color of magic discworld 1 rincewind 1,Terry Pratchett,3.99,1983,https://www.goodreads.com/book/show/34497.The_Color_of_Magic
humour,the restaurant at the end of the universe the hitchhikers guide to the galaxy 2,Douglas Adams,4.2,1980,https://www.goodreads.com/book/show/8695.The_Restaurant_at_the_End_of_the_Universe
humour,mort discworld 4 death 1,Terry Pratchett,4.24,1987,https://www.goodreads.com/book/show/386372.Mort
humour,life the universe and everything the hitchhikers guide to the galaxy 3,Douglas Adams,4.16,1982,https://www.goodreads.com/book/show/8694.Life_the_Universe_and_Everything
humour,guards guards discworld 8 city watch 1,Terry Pratchett,4.34,1989,https://www.goodreads.com/book/show/64216.Guards_Guards_
humour,equal rites discworld 3 witches 1,Terry Pratchett,4.07,1987,https://www.goodreads.com/book/show/34507.Equal_Rites
humour,so long and thanks for all the fish the hitchhikers guide to the galaxy 4,Douglas Adams,4.08,1984,https://www.goodreads.com/book/show/6091075-so-long-and-thanks-for-all-the-fish
humour,the light fantastic discworld 2 rincewind 2,Terry Pratchett,4.01,1986,https://www.goodreads.com/book/show/34506.The_Light_Fantastic
humour,me talk pretty one day,David Sedaris,4.01,2000,https://www.goodreads.com/book/show/4137.Me_Talk_Pretty_One_Day
humour,wyrd sisters discworld 6 witches 2,Terry Pratchett,4.16,1988,https://www.goodreads.com/book/show/34504.Wyrd_Sisters
humour,assuming names a con artists masquerade,Tanya Thompson,3.66,2014,https://www.goodreads.com/book/show/21449526-assuming-names
humour,the 100yearold man who climbed out the window and disappeared the hundredyearold man 1,Jonas Jonasson,3.82,2009,https://www.goodreads.com/book/show/36578942-the-100-year-old-man-who-climbed-out-the-window-and-disappeared
humour,dirk gentlys holistic detective agency dirk gently 1,Douglas Adams,3.97,1987,https://www.goodreads.com/book/show/365.Dirk_Gently_s_Holistic_Detective_Agency
humour,mostly harmless hitchhikers guide to the galaxy 5,Douglas Adams,3.96,1992,https://www.goodreads.com/book/show/569429.Mostly_Harmless
humour,three men in a boat three men 1,Jerome K. Jerome,3.83,1889,https://www.goodreads.com/book/show/4921.Three_Men_in_a_Boat
humour,bridget joness diary bridget jones 1,Helen Fielding,3.81,1996,https://www.goodreads.com/book/show/227443.Bridget_Jones_s_Diary
humour,small gods discworld 13,Terry Pratchett,4.32,1992,https://www.goodreads.com/book/show/34484.Small_Gods
humour,sourcery discworld 5 rincewind 3,Terry Pratchett,3.91,1988,https://www.goodreads.com/book/show/34499.Sourcery
humour,hyperbole and a half unfortunate situations flawed coping mechanisms mayhem and other things that happened,Allie Brosh,4.17,2013,https://www.goodreads.com/book/show/17571564-hyperbole-and-a-half
humour,the rosie project don tillman 1,Graeme Simsion,4.01,2013,https://www.goodreads.com/book/show/16181775-the-rosie-project
humour,reaper man discworld 11 death 2,Terry Pratchett,4.28,1991,https://www.goodreads.com/book/show/34517.Reaper_Man
humour,catch22,Joseph Heller,3.99,1961,https://www.goodreads.com/book/show/168668.Catch_22
humour,pyramids discworld 7,Terry Pratchett,3.92,1989,https://www.goodreads.com/book/show/64217.Pyramids
humour,men at arms discworld 15 city watch 2,Terry Pratchett,4.41,1993,https://www.goodreads.com/book/show/400354.Men_at_Arms
humour,hogfather,Terry Pratchett,4.26,1996,https://www.goodreads.com/book/show/34532.Hogfather
humour,the importance of being earnest,Oscar Wilde,4.17,1895,https://www.goodreads.com/book/show/92303.The_Importance_of_Being_Earnest
humour,witches abroad discworld 12 witches 3,Terry Pratchett,4.26,1991,https://www.goodreads.com/book/show/2442.Witches_Abroad
humour,going postal discworld 33 moist von lipwig 1,Terry Pratchett,4.41,2004,https://www.goodreads.com/book/show/64222.Going_Postal
humour,night watch discworld 29 city watch 6,Terry Pratchett,4.5,2002,https://www.goodreads.com/book/show/47989.Night_Watch
humour,moving pictures discworld 10 industrial revolution 1,Terry Pratchett,3.97,1990,https://www.goodreads.com/book/show/34510.Moving_Pictures
humour,soul music discworld 16 death 3,Terry Pratchett,4.06,1994,https://www.goodreads.com/book/show/34502.Soul_Music
humour,the princess bride,William Goldman,4.27,1973,https://www.goodreads.com/book/show/21787.The_Princess_Bride
humour,feet of clay discworld 19 city watch 3,Terry Pratchett,4.33,1996,https://www.goodreads.com/book/show/34527.Feet_of_Clay
humour,eric discworld 9 rincewind 4,Terry Pratchett,3.79,1990,https://www.goodreads.com/book/show/64218.Eric
humour,lords and ladies discworld 14 witches 4,Terry Pratchett,4.21,1992,https://www.goodreads.com/book/show/34529.Lords_and_Ladies
humour,maskerade discworld 18 witches 5,Terry Pratchett,4.13,1995,https://www.goodreads.com/book/show/78876.Maskerade
humour,jingo discworld 21 city watch 4,Terry Pratchett,4.19,1997,https://www.goodreads.com/book/show/47990.Jingo
humour,the fifth elephant discworld 24 city watch 5,Terry Pratchett,4.31,1999,https://www.goodreads.com/book/show/63720.The_Fifth_Elephant
humour,is everyone hanging out without me and other concerns,Mindy Kaling,3.86,2011,https://www.goodreads.com/book/show/10335308-is-everyone-hanging-out-without-me
humour,the long dark teatime of the soul dirk gently 2,Douglas Adams,4.04,1988,https://www.goodreads.com/book/show/357.The_Long_Dark_Tea_Time_of_the_Soul
humour,thief of time discworld 26 death 5,Terry Pratchett,4.28,2001,https://www.goodreads.com/book/show/48002.Thief_of_Time
humour,the inimitable jeeves jeeves 2,P.G. Wodehouse,4.2,1923,https://www.goodreads.com/book/show/9515964-the-inimitable-jeeves
humour,carpe jugulum discworld 23 witches 6,Terry Pratchett,4.19,1998,https://www.goodreads.com/book/show/34541.Carpe_Jugulum
humour,red russia,Tanya Thompson,4.05,2017,https://www.goodreads.com/book/show/36043601-red-russia
humour,lamb the gospel according to biff christs childhood pal,Christopher Moore,4.23,2002,https://www.goodreads.com/book/show/28881.Lamb
humour,the wee free men discworld 30 tiffany aching 1,Terry Pratchett,4.3,2003,https://www.goodreads.com/book/show/34494.The_Wee_Free_Men
memoir,eat pray love,Elizabeth Gilbert,3.64,2006,https://www.goodreads.com/book/show/19501.Eat_Pray_Love
memoir,the year of magical thinking,Joan Didion,3.93,2005,https://www.goodreads.com/book/show/7815.The_Year_of_Magical_Thinking
memoir,know my name,Chanel Miller,4.69,2019,https://www.goodreads.com/book/show/50196744-know-my-name
memoir,in the dream house,Carmen Maria Machado,4.39,2019,https://www.goodreads.com/book/show/43317482-in-the-dream-house
memoir,the woman in me,Britney Spears,3.83,2023,https://www.goodreads.com/book/show/63133205-the-woman-in-me
memoir,hunger a memoir of my body,Roxane Gay,4.17,2017,https://www.goodreads.com/book/show/26074156-hunger
memoir,just kids,Patti Smith,4.21,2010,https://www.goodreads.com/book/show/206318521-just-kids
memoir,fun home a family tragicomic,Alison Bechdel,4.07,2006,https://www.goodreads.com/book/show/26135825-fun-home
memoir,running with scissors,Augusten Burroughs,3.77,2002,https://www.goodreads.com/book/show/242006.Running_with_Scissors
memoir,kitchen confidential adventures in the culinary underbelly,Anthony Bourdain,4.18,2000,https://www.goodreads.com/book/show/33313.Kitchen_Confidential
memoir,brain on fire my month of madness,Susannah Cahalan,4.09,2012,https://www.goodreads.com/book/show/63221207-brain-on-fire
memoir,untamed,Glennon Doyle,3.98,2020,https://www.goodreads.com/book/show/52129515-untamed
memoir,lets pretend this never happened a mostly true memoir,Jenny  Lawson,3.9,2012,https://www.goodreads.com/book/show/12868761-let-s-pretend-this-never-happened
memoir,maybe you should talk to someone a therapist her therapist and our lives revealed,Lori Gottlieb,4.37,2019,https://www.goodreads.com/book/show/37570546-maybe-you-should-talk-to-someone
memoir,girl interrupted,Susanna Kaysen,3.94,1993,https://www.goodreads.com/book/show/68783.Girl_Interrupted
memoir,persepolis the story of a childhood persepolis 1,Marjane Satrapi,4.27,2003,https://www.goodreads.com/book/show/9516.Persepolis
memoir,orange is the new black,Piper Kerman,3.72,2010,https://www.goodreads.com/book/show/6314763-orange-is-the-new-black
memoir,furiously happy a funny book about horrible things,Jenny  Lawson,3.89,2015,https://www.goodreads.com/book/show/23848559-furiously-happy
memoir,friends lovers and the big terrible thing,Matthew  Perry,3.94,2022,https://www.goodreads.com/book/show/59641216-friends-lovers-and-the-big-terrible-thing
memoir,everything i know about love,Dolly Alderton,3.95,2018,https://www.goodreads.com/book/show/46041465-everything-i-know-about-love
memoir,why not me,Mindy Kaling,3.9,2015,https://www.goodreads.com/book/show/30268522-why-not-me
memoir,what my bones know,Stephanie Foo,4.5,2022,https://www.goodreads.com/book/show/58214328-what-my-bones-know
memoir,finding me,Viola Davis,4.54,2022,https://www.goodreads.com/book/show/58687126-finding-me
classics,little women little women 1,Louisa May Alcott,4.17,1868,https://www.goodreads.com/book/show/1934.Little_Women
classics,emma,Jane Austen,4.05,1815,https://www.goodreads.com/book/show/6969.Emma
classics,sense and sensibility,Jane Austen,4.09,1811,https://www.goodreads.com/book/show/14935.Sense_and_Sensibility
classics,romeo and juliet,William Shakespeare,3.74,1590,https://www.goodreads.com/book/show/59926998-romeo-and-juliet
classics,dracula,Bram Stoker,4.02,1897,https://www.goodreads.com/book/show/17245.Dracula
classics,persuasion,Jane Austen,4.15,1817,https://www.goodreads.com/book/show/2156.Persuasion
classics,the count of monte cristo,Alexandre Dumas,4.32,1846,https://www.goodreads.com/book/show/7126.The_Count_of_Monte_Cristo
classics,a tale of two cities,Charles Dickens,3.88,1859,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities
classics,great expectations,Charles Dickens,3.8,1861,https://www.goodreads.com/book/show/2623.Great_Expectations
classics,the adventures of huckleberry finn,Mark Twain,3.83,1885,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn
classics,the scarlet letter,Nathaniel Hawthorne,3.44,1850,https://www.goodreads.com/book/show/12296.The_Scarlet_Letter
classics,hamlet,William Shakespeare,4.03,1601,https://www.goodreads.com/book/show/1420.Hamlet
classics,a christmas carol,Charles Dickens,4.09,1843,https://www.goodreads.com/book/show/5326.A_Christmas_Carol
classics,macbeth,William Shakespeare,3.89,1623,https://www.goodreads.com/book/show/43913694-macbeth
classics,the metamorphosis,Franz Kafka,3.9,1915,https://www.goodreads.com/book/show/485894.The_Metamorphosis
classics,the bell jar,Sylvia Plath,4.05,1963,https://www.goodreads.com/book/show/56616095-the-bell-jar
classics,the old man and the sea,Ernest Hemingway,3.81,1952,https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea
classics,northanger abbey,Jane Austen,3.85,1817,https://www.goodreads.com/book/show/50398.Northanger_Abbey
classics,les miserables,Victor Hugo,4.21,1862,https://www.goodreads.com/book/show/24280.Les_Mis_rables
classics,dr jekyll and mr hyde,Robert Louis Stevenson,3.83,1886,https://www.goodreads.com/book/show/51496.Dr_Jekyll_and_Mr_Hyde
classics,the grapes of wrath,John Steinbeck,4.02,1939,https://www.goodreads.com/book/show/18114322-the-grapes-of-wrath
classics,the adventures of tom sawyer,Mark Twain,3.92,1876,https://www.goodreads.com/book/show/24583.The_Adventures_of_Tom_Sawyer
classics,lolita,Vladimir Nabokov,3.87,1955,https://www.goodreads.com/book/show/9216051-lolita
classics,rebecca,Daphne du Maurier,4.25,1938,https://www.goodreads.com/book/show/17899948-rebecca
classics,mansfield park,Jane Austen,3.86,1814,https://www.goodreads.com/book/show/45032.Mansfield_Park
mystery,and then there were none,Agatha Christie,4.27,1939,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None
mystery,murder on the orient express hercule poirot 10,Agatha Christie,4.2,1934,https://www.goodreads.com/book/show/853510.Murder_on_the_Orient_Express
mystery,a good girls guide to murder a good girls guide to murder 1,Holly  Jackson,4.29,2019,https://www.goodreads.com/book/show/40916679-a-good-girl-s-guide-to-murder
mystery,the girl on the train,Paula Hawkins,3.96,2015,https://www.goodreads.com/book/show/22557272-the-girl-on-the-train
mystery,the silent patient,Alex Michaelides,4.17,2019,https://www.goodreads.com/book/show/40097951-the-silent-patient
mystery,the mysterious affair at styles hercule poirot 1,Agatha Christie,4.0,1920,https://www.goodreads.com/book/show/52843028-the-mysterious-affair-at-styles
mystery,the inheritance games the inheritance games 1,Jennifer Lynn Barnes,4.13,2020,https://www.goodreads.com/book/show/52439531-the-inheritance-games
mystery,the thursday murder club thursday murder club 1,Richard Osman,3.86,2020,https://www.goodreads.com/book/show/46000520-the-thursday-murder-club
mystery,one of us is lying one of us is lying 1,Karen M. McManus,3.91,2017,https://www.goodreads.com/book/show/58679358-one-of-us-is-lying
mystery,the 7 12 deaths of evelyn hardcastle,Stuart Turton,3.78,2018,https://www.goodreads.com/book/show/36337550-the-7-1-2-deaths-of-evelyn-hardcastle
mystery,the murder of roger ackroyd hercule poirot 4,Agatha Christie,4.26,1926,https://www.goodreads.com/book/show/16328.The_Murder_of_Roger_Ackroyd
mystery,the cuckoos calling cormoran strike 1,Robert Galbraith,3.89,2013,https://www.goodreads.com/book/show/16160797-the-cuckoo-s-calling
mystery,the guest list,Lucy Foley,3.8,2020,https://www.goodreads.com/book/show/52656911-the-guest-list
mystery,death on the nile hercule poirot 18,Agatha Christie,4.12,1937,https://www.goodreads.com/book/show/131359.Death_on_the_Nile
mystery,a study in scarlet sherlock holmes 1,Arthur Conan Doyle,4.13,1887,https://www.goodreads.com/book/show/102868.A_Study_in_Scarlet
mystery,in the woods dublin murder squad 1,Tana French,3.78,2007,https://www.goodreads.com/book/show/2459785.In_the_Woods
mystery,the hound of the baskervilles sherlock holmes 5,Arthur Conan Doyle,4.14,1902,https://www.goodreads.com/book/show/8921.The_Hound_of_the_Baskervilles
mystery,still life chief inspector armand gamache 1,Louise Penny,3.9,2005,https://www.goodreads.com/book/show/338691.Still_Life
mystery,the girl who played with fire millennium 2,Stieg Larsson,4.26,2006,https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire
mystery,the maid molly the maid 1,Nita Prose,3.75,2022,https://www.goodreads.com/book/show/55196813-the-maid
mystery,sharp objects,Gillian Flynn,4.01,2006,https://www.goodreads.com/book/show/18045891-sharp-objects
mystery,the sweetness at the bottom of the pie flavia de luce 1,Alan Bradley,3.82,2009,https://www.goodreads.com/book/show/40605285-the-sweetness-at-the-bottom-of-the-pie
mystery,good girl bad blood a good girls guide to murder 2,Holly  Jackson,4.26,2020,https://www.goodreads.com/book/show/51335759-good-girl-bad-blood
mystery,truly devious truly devious 1,Maureen Johnson,3.89,2018,https://www.goodreads.com/book/show/29589074-truly-devious
mystery,the abc murders hercule poirot 13,Agatha Christie,4.03,1936,https://www.goodreads.com/book/show/16322.The_A_B_C_Murders
mystery,we were liars,E. Lockhart,3.65,2014,https://www.goodreads.com/book/show/16143347-we-were-liars
mystery,the adventures of sherlock holmes sherlock holmes 3,Arthur Conan Doyle,4.3,1892,https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes
mystery,murder at the vicarage miss marple 1,Agatha Christie,4.04,1930,https://www.goodreads.com/book/show/16331.Murder_at_the_Vicarage
mystery,dark places,Gillian Flynn,3.94,2009,https://www.goodreads.com/book/show/5886881-dark-places
mystery,the woman in cabin 10 lo blacklock 1,Ruth Ware,3.72,2016,https://www.goodreads.com/book/show/233770059-the-woman-in-cabin-10
mystery,the secret history,Donna Tartt,4.16,1992,https://www.goodreads.com/book/show/29044.The_Secret_History
mystery,the girl who kicked the hornets nest millennium 3,Stieg Larsson,4.24,2007,https://www.goodreads.com/book/show/6892870-the-girl-who-kicked-the-hornet-s-nest
